,Score,Averagescores
186,-334.0000000000009,-376.53700000000083
187,-336.0000000000045,-373.85700000000094
188,-400.30000000000206,-373.85700000000094
189,-621.7000000000002,-374.05800000000096
190,-609.4,-376.1450000000009
191,-249.9999999999994,-375.8950000000009
192,-400.60000000000207,-375.8980000000009
193,-401.10000000000207,-375.9030000000008
194,-400.400000000002,-377.28700000000083
195,-334.0000000000009,-374.19100000000077
196,-105.00000000000034,-371.2370000000008
197,-400.4000000000021,-371.23400000000083
198,-198.99999999999977,-370.32400000000086
199,-155.99999999999733,-367.8800000000008
200,-235.9999999999994,-364.2700000000009
201,-400.30000000000206,-362.29100000000085
202,-56.00000000000067,-358.85000000000093
203,-294.0000000000009,-355.41900000000084
204,-400.7000000000021,-355.4160000000009
205,-400.7000000000021,-356.6730000000009
206,-598.2,-361.5350000000009
207,-400.60000000000207,-359.5590000000009
208,-400.9000000000021,-360.7980000000009
209,-625.7000000000002,-363.60500000000087
210,-143.0,-362.18500000000085
211,-400.3000000000021,-364.648000000001
212,-400.9000000000021,-364.64900000000097
213,-191.99999999999977,-362.889000000001
214,-610.0,-364.98200000000094
215,-598.2,-366.9530000000008
216,-233.99999999999955,-365.7530000000009
217,-200.99999999999974,-363.7530000000009
218,-268.99999999999966,-363.2030000000009
219,-400.5000000000021,-363.20200000000085
220,-400.30000000000206,-363.2250000000009
221,-124.00000000000018,-360.75500000000085
222,-367.0000000000015,-357.9940000000008
223,-400.80000000000206,-357.99100000000084
224,-87.00000000000043,-354.85100000000085
225,-400.100000000002,-354.8480000000008
226,-204.9999999999997,-350.8500000000008
227,-388.0000000000019,-350.7220000000008
228,-401.10000000000207,-350.85300000000075
229,-400.6000000000021,-354.2790000000008
230,-401.0000000000017,-356.6590000000008
231,-400.8000000000021,-354.4360000000008
232,-51.00000000000053,-350.9350000000008
233,-54.00000000000061,-347.4730000000009
234,-401.100000000002,-348.6540000000009
235,-400.400000000002,-350.27800000000093
236,-69.00000000000017,-350.4180000000008
237,-254.99999999999937,-346.9390000000009
238,-401.00000000000205,-349.2490000000009
239,-400.20000000000203,-352.7210000000009
240,-400.4000000000021,-356.2350000000009
241,-264.9999999999996,-358.3650000000009
242,-48.00000000000059,-354.8430000000009
243,-401.0000000000021,-354.85200000000094
244,-320.0000000000005,-354.04500000000087
245,-400.6000000000022,-354.0480000000009
246,-400.6000000000022,-355.65400000000096
247,-51.00000000000061,-355.58400000000097
248,-598.2,-359.1460000000009
249,-598.2,-361.1230000000009
250,-314.0000000000005,-360.2540000000008
251,-401.00000000000205,-358.2360000000008
252,-400.50000000000216,-356.04600000000084
253,-277.9999999999998,-352.8440000000009
254,-55.0000000000006,-350.0440000000009
255,-400.70000000000203,-350.0430000000009
256,-366.00000000000153,-346.31100000000094
257,-401.10000000000207,-344.3400000000009
258,-602.1,-344.394000000001
259,-100.0000000000002,-339.37400000000093
260,-48.00000000000065,-336.22400000000096
261,-400.7000000000021,-337.121000000001
262,-598.2,-339.094000000001
263,-400.4000000000021,-339.088000000001
264,-58.00000000000067,-333.65500000000094
265,-401.1000000000021,-331.38200000000097
266,-368.0000000000034,-331.052000000001
267,-48.00000000000068,-329.92200000000105
268,-598.2,-332.74400000000094
269,-57.00000000000065,-332.75400000000104
270,-400.900000000002,-332.755000000001
271,-396.00000000000193,-330.65300000000104
272,-269.99999999999835,-330.37300000000107
273,-400.80000000000206,-330.380000000001
274,-391.0000000000019,-330.2810000000011
275,-611.9,-332.39300000000105
276,-400.4000000000021,-334.09700000000106
277,-124.0000000000003,-331.33300000000105
278,-400.400000000002,-331.334000000001
279,-400.100000000002,-328.86900000000105
280,-400.7000000000021,-328.86500000000103
281,-50.00000000000067,-325.36500000000103
282,-66.00000000000065,-324.90500000000105
283,-400.30000000000206,-328.32800000000105
284,-397.00000000000216,-331.83800000000105
285,-400.6000000000021,-335.0640000000011
286,-246.99999999999946,-334.1940000000011
287,-598.2,-336.81600000000105
288,-268.9999999999996,-335.50300000000107
289,-57.00000000000061,-329.8560000000011
290,-602.1,-329.78300000000104
291,-400.9000000000021,-331.29200000000105
292,-400.100000000002,-331.287000000001
293,-238.99999999999952,-329.666000000001
294,-400.60000000000207,-329.66800000000103
295,-201.99999999999946,-328.34800000000104
296,-400.30000000000206,-331.301000000001
297,-400.80000000000206,-331.30500000000103
298,-69.00000000000061,-330.0050000000011
299,-208.9999999999997,-330.5350000000011
300,-55.00000000000056,-328.7250000000011
301,-299.0000000000003,-327.71200000000107
302,-623.1000000000001,-333.38300000000106
303,-357.00000000000136,-334.01300000000106
304,-633.2000000000003,-336.338000000001
305,-400.8000000000022,-336.339000000001
306,-43.00000000000047,-330.78700000000106
307,-401.00000000000205,-330.7910000000011
308,-254.99999999999855,-329.332000000001
309,-606.7,-329.1420000000011
310,-218.9999999999975,-329.90200000000107
311,-184.9999999999993,-327.74900000000093
312,-296.00000000000017,-326.70000000000095
313,-175.9999999999999,-326.540000000001
314,-53.00000000000061,-320.97000000000094
315,-400.30000000000217,-318.99100000000095
316,-73.99999999999933,-317.391000000001
317,-59.00000000000065,-315.97100000000097
318,-613.5999999999999,-319.417000000001
319,-58.00000000000067,-315.9920000000009
320,-400.9000000000021,-315.99800000000096
321,-48.00000000000058,-315.2380000000009
322,-400.50000000000205,-315.573000000001
323,-400.7000000000021,-315.57200000000097
324,-400.5000000000022,-318.707000000001
