,Score,Averagescores
240,-630.2000000000003,-177.49500000000015
241,-53.000000000000625,-172.04000000000013
242,-637.4000000000005,-172.40100000000018
243,-49.00000000000063,-172.88400000000016
244,-54.000000000000604,-173.30400000000017
245,-55.00000000000062,-173.79600000000016
246,-57.00000000000063,-174.20500000000015
247,-46.700000000000465,-174.52900000000017
248,-609.2,-174.61800000000017
249,-36.90000000000026,-168.8880000000002
250,-51.00000000000057,-169.2860000000002
251,-53.00000000000065,-169.82400000000018
252,-15.899999999999958,-169.7230000000002
253,-618.4,-175.80700000000022
254,-55.00000000000063,-170.37500000000017
255,-10.399999999999986,-170.37700000000024
256,-621.3000000000001,-176.44900000000024
257,-54.00000000000061,-176.7540000000002
258,-638.5000000000005,-183.06000000000023
259,-55.00000000000063,-183.5100000000002
260,-55.00000000000062,-178.0490000000002
261,-41.900000000000354,-178.29800000000026
262,-613.9,-178.44200000000026
263,-37.50000000000027,-178.76100000000028
264,-57.00000000000063,-179.02700000000027
265,-51.30000000000052,-179.23300000000026
266,-59.00000000000065,-179.52200000000022
267,-57.0000000000006,-173.95200000000023
268,-60.00000000000065,-174.39900000000023
269,-60.00000000000067,-174.80800000000025
270,-11.599999999999982,-174.82400000000024
271,-58.00000000000065,-175.26400000000024
272,-39.2000000000003,-175.27600000000024
273,-630.5000000000002,-175.59900000000027
274,-57.00000000000065,-176.0070000000003
275,-57.000000000000625,-176.16000000000025
276,-52.40000000000047,-176.1940000000003
277,-59.00000000000067,-170.7330000000003
278,-56.500000000000526,-170.7580000000003
279,-60.00000000000067,-171.2470000000003
280,-56.00000000000065,-171.25700000000026
281,-59.00000000000065,-171.71700000000027
282,-57.00000000000064,-171.85200000000026
283,-57.00000000000065,-171.90900000000028
284,-26.90000000000007,-171.64800000000028
285,-52.00000000000062,-171.78000000000029
286,-9.79999999999999,-171.36800000000028
287,-18.599999999999977,-171.05400000000026
288,-603.4000000000001,-176.92600000000027
289,-614.7,-182.55300000000028
290,-53.00000000000063,-176.88700000000028
291,-51.00000000000061,-171.0200000000003
292,-13.49999999999997,-170.75300000000027
293,-50.00000000000061,-170.78300000000027
294,-51.00000000000057,-170.9480000000003
295,-55.00000000000061,-171.3550000000003
296,-18.599999999999955,-171.38900000000027
297,-34.000000000000334,-171.47400000000027
298,-36.90000000000027,-165.75300000000033
299,-19.099999999999977,-159.96200000000033
300,-8.299999999999985,-153.93800000000027
301,-13.999999999999968,-153.5980000000003
302,-35.90000000000037,-153.41800000000026
303,-16.99999999999995,-147.31500000000028
304,-24.200000000000117,-141.54500000000027
305,-598.2,-141.0330000000003
306,-3.799999999999996,-140.88000000000028
307,-5.699999999999994,-140.4470000000003
308,-11.999999999999968,-140.0470000000003
309,-601.1,-145.70000000000027
310,-7.599999999999989,-145.4770000000003
311,-13.799999999999962,-145.27700000000027
312,-10.999999999999972,-144.90700000000027
313,-11.699999999999953,-144.98900000000026
314,-24.300000000000047,-145.10400000000024
315,-14.199999999999958,-145.09900000000027
316,-19.499999999999986,-144.87400000000028
317,-11.899999999999965,-144.80800000000028
318,-18.99999999999997,-144.75300000000027
319,-31.40000000000036,-144.78000000000026
320,-19.79999999999997,-144.72900000000024
321,-598.2,-150.70000000000024
322,-617.6,-156.55000000000027
323,-33.900000000000325,-150.86700000000025
324,-13.299999999999976,-144.86300000000026
325,-598.2,-150.77800000000028
326,-17.89999999999996,-144.76100000000025
327,-41.60000000000047,-145.10500000000025
328,-20.39999999999994,-139.32400000000027
329,-600.8000000000001,-145.19600000000025
330,-6.799999999999994,-144.88600000000025
331,-33.10000000000022,-145.12400000000025
332,-599.2,-150.98900000000026
333,-7.699999999999996,-145.09400000000028
334,-19.199999999999967,-139.25000000000028
335,-602.4000000000001,-144.88700000000028
336,-50.00000000000062,-145.26100000000028
337,-35.00000000000029,-145.45100000000025
338,-600.4000000000001,-145.15800000000024
339,-48.00000000000058,-145.59300000000027
340,-45.000000000000554,-139.74100000000027
341,-34.70000000000024,-139.55800000000028
342,-41.00000000000051,-133.59400000000028
343,-14.099999999999948,-133.24500000000026
344,-42.000000000000554,-133.12500000000028
345,-34.40000000000023,-132.91900000000024
346,-29.90000000000024,-132.64800000000025
347,-25.800000000000097,-132.43900000000022
348,-5.300000000000008,-126.40000000000023
349,-21.600000000000016,-126.24700000000023
350,-28.200000000000102,-126.01900000000025
351,-5.3000000000000025,-125.54200000000024
352,-598.2,-131.36500000000026
353,-629.3000000000003,-131.47400000000027
354,-31.400000000000336,-131.23800000000026
355,-5.700000000000003,-131.1910000000003
356,-14.499999999999957,-125.12300000000026
357,-37.100000000000385,-124.95400000000024
358,-25.400000000000095,-118.82300000000025
359,-22.000000000000032,-118.49300000000022
360,-22.400000000000137,-118.16700000000023
361,-10.099999999999985,-117.84900000000022
362,-598.2,-117.69200000000022
363,-619.5000000000001,-123.51200000000023
364,-16.599999999999955,-123.10800000000023
365,-10.099999999999989,-122.69600000000023
366,-18.39999999999996,-122.2900000000002
367,-2.3000000000000034,-121.7430000000002
368,-21.60000000000008,-121.35900000000018
369,-10.999999999999952,-120.86900000000018
370,-10.499999999999968,-120.85800000000017
371,-10.899999999999956,-120.38700000000019
372,-8.69999999999999,-120.08200000000016
373,-5.600000000000003,-113.83300000000017
374,-8.000000000000004,-113.34300000000017
375,-599.7,-118.77000000000017
376,-13.999999999999961,-118.38600000000017
377,-604.7,-123.84300000000016
378,-17.59999999999994,-123.45400000000016
379,-11.699999999999978,-122.97100000000015
380,-11.29999999999998,-122.52400000000014
381,-600.7,-127.94100000000012
382,-14.89999999999995,-127.52000000000012
383,-21.900000000000006,-127.16900000000011
384,-607.8000000000001,-132.9780000000001
385,-21.8,-132.67600000000007
386,-7.399999999999997,-132.65200000000007
387,-13.59999999999997,-132.6020000000001
388,-8.299999999999994,-126.6510000000001
389,-602.8000000000001,-126.53200000000008
390,-28.9000000000002,-126.2910000000001
391,-621.2,-131.99300000000008
392,-9.099999999999985,-131.9490000000001
393,-601.2,-137.4610000000001
394,-16.99999999999993,-137.12100000000012
395,-10.999999999999982,-136.68100000000007
396,-611.8,-142.61300000000008
397,-40.70000000000042,-142.68000000000006
398,-2.4000000000000012,-142.33500000000006
399,-601.5,-148.15900000000008
400,-11.599999999999968,-148.1920000000001
401,-611.2,-154.16400000000007
402,-3.0000000000000013,-153.83500000000006
403,-8.399999999999995,-153.74900000000008
404,-22.100000000000104,-153.72800000000007
405,-12.099999999999975,-147.86700000000008
406,-13.099999999999936,-147.96000000000006
407,-6.499999999999995,-147.96800000000007
408,-17.89999999999996,-148.02700000000007
409,-12.899999999999972,-142.14500000000007
410,-602.8000000000001,-148.09700000000007
411,-15.399999999999956,-148.11300000000006
412,-11.699999999999966,-148.12000000000006
413,-17.199999999999932,-148.17500000000007
414,-10.99999999999997,-148.0420000000001
415,-7.799999999999997,-147.97800000000007
416,-15.699999999999937,-147.94000000000008
417,-8.599999999999985,-147.90700000000007
418,-598.2,-153.6990000000001
419,-38.60000000000045,-153.7710000000001
420,-33.30000000000024,-153.90600000000012
421,-598.2,-153.90600000000012
422,-9.999999999999988,-147.8300000000001
423,-40.90000000000036,-147.90000000000012
424,-598.2,-153.74900000000008
425,-23.000000000000043,-147.9970000000001
426,-24.500000000000117,-148.06300000000007
427,-46.800000000000516,-148.1150000000001
428,-9.099999999999984,-148.00200000000007
429,-14.899999999999949,-142.1430000000001
430,-621.6000000000001,-148.29100000000008
431,-34.900000000000304,-148.30900000000008
432,-20.4,-142.52100000000007
433,-18.89999999999999,-142.63300000000007
434,-50.0000000000006,-142.9410000000001
435,-608.7,-143.00400000000008
436,-26.400000000000123,-142.7680000000001
437,-52.00000000000062,-142.93800000000007
438,-38.00000000000033,-137.31400000000008
439,-54.00000000000063,-137.37400000000008
440,-42.40000000000036,-137.34800000000007
441,-598.5,-142.98600000000008
442,-24.400000000000063,-142.82000000000008
443,-54.00000000000065,-143.21900000000008
444,-55.00000000000063,-143.34900000000007
445,-57.00000000000063,-143.57500000000007
446,-60.00000000000065,-143.8760000000001
447,-51.000000000000526,-144.12800000000007
448,-638.3000000000004,-150.4580000000001
449,-638.3000000000003,-156.6250000000001
450,-635.8000000000003,-162.70100000000014
451,-63.00000000000067,-163.27800000000013
452,-613.6,-163.43200000000013
453,-622.2000000000002,-163.36100000000013
454,-61.00000000000067,-163.65700000000012
455,-60.000000000000654,-164.20000000000016
456,-62.00000000000067,-164.67500000000015
457,-63.700000000000635,-164.94100000000014
458,-61.00000000000066,-165.29700000000014
459,-598.2,-171.0590000000001
460,-63.00000000000067,-171.46500000000015
461,-62.00000000000067,-171.98400000000012
462,-62.00000000000066,-166.62200000000016
463,-62.00000000000067,-161.04700000000014
464,-63.00000000000068,-161.51100000000014
465,-62.00000000000066,-162.03000000000014
466,-62.00000000000067,-162.46600000000015
467,-643.5000000000005,-168.87800000000018
468,-62.00000000000067,-169.28200000000015
469,-61.00000000000067,-169.78200000000018
470,-61.00000000000067,-170.28700000000018
471,-63.00000000000068,-170.80800000000022
472,-62.00000000000064,-171.3410000000002
473,-54.80000000000052,-171.8330000000002
474,-60.00000000000065,-172.3530000000002
475,-60.00000000000067,-166.95600000000022
476,-57.0000000000006,-167.3860000000002
477,-635.7000000000003,-167.69600000000025
478,-598.2,-173.50200000000027
479,-61.00000000000066,-173.99500000000026
480,-57.00000000000062,-174.45200000000025
481,-60.00000000000067,-169.04500000000024
482,-47.70000000000045,-169.37300000000027
483,-60.00000000000066,-169.75400000000027
484,-57.00000000000065,-164.24600000000027
485,-57.00000000000065,-164.5980000000003
486,-59.00000000000065,-165.11400000000026
487,-54.00000000000063,-165.51800000000028
488,-613.0,-171.56500000000028
489,-56.80000000000059,-166.1050000000003
490,-54.00000000000063,-166.35600000000028
491,-615.7,-166.3010000000003
492,-605.5,-172.2650000000003
493,-598.2,-172.23500000000033
494,-52.00000000000062,-172.58500000000032
495,-37.800000000000324,-172.85300000000032
496,-53.800000000000566,-167.27300000000028
497,-58.000000000000654,-167.44600000000028
498,-57.00000000000064,-167.9920000000003
499,-52.00000000000063,-162.49700000000033
500,-53.800000000000615,-162.91900000000032
501,-31.500000000000195,-157.12200000000036
502,-618.4,-163.27600000000035
503,-53.60000000000059,-163.72800000000035
504,-54.00000000000061,-164.04700000000037
505,-55.00000000000063,-164.47600000000034
506,-58.000000000000654,-164.92500000000035
507,-35.30000000000018,-165.21300000000036
508,-609.4,-171.12800000000036
509,-58.00000000000061,-171.57900000000038
510,-34.20000000000021,-165.8930000000004
511,-41.10000000000032,-166.15000000000038
512,-43.80000000000037,-166.47100000000034
513,-60.00000000000065,-166.89900000000037
514,-643.6000000000005,-173.2250000000004
515,-57.00000000000063,-173.7170000000004
516,-30.50000000000016,-173.8650000000004
517,-57.000000000000654,-174.34900000000042
518,-55.10000000000059,-168.91800000000043
519,-21.600000000000023,-168.74800000000042
520,-636.9000000000003,-174.78400000000042
521,-598.2,-174.78400000000042
522,-35.500000000000256,-175.0390000000004
523,-53.00000000000063,-175.1600000000004
524,-32.8000000000002,-169.50600000000043
525,-603.3000000000001,-175.30900000000037
526,-51.00000000000056,-175.57400000000038
527,-25.000000000000085,-175.35600000000042
528,-57.00000000000062,-175.8350000000004
529,-39.60000000000028,-176.08200000000042
530,-34.30000000000028,-170.2090000000004
531,-53.00000000000062,-170.3900000000004
532,-11.499999999999977,-170.30100000000039
533,-19.599999999999987,-170.3080000000004
534,-40.20000000000031,-170.2100000000004
535,-8.299999999999995,-164.20600000000042
536,-29.200000000000202,-164.23400000000046
537,-40.50000000000038,-164.11900000000043
538,-603.9000000000001,-169.77800000000042
539,-27.1000000000001,-169.5090000000004
540,-53.0000000000006,-169.6150000000004
541,-26.70000000000008,-163.89700000000042
542,-31.000000000000178,-163.96300000000042
543,-26.9000000000001,-163.6920000000004
544,-56.00000000000063,-163.7020000000004
545,-54.00000000000062,-163.67200000000042
546,-49.000000000000576,-163.5620000000004
547,-47.0000000000006,-163.52200000000042
548,-23.70000000000003,-157.37600000000043
549,-17.399999999999963,-151.16700000000043
550,-634.8000000000003,-151.15700000000044
551,-27.300000000000153,-150.8000000000004
552,-19.799999999999986,-144.86200000000042
553,-34.200000000000315,-138.98200000000043
554,-29.000000000000146,-138.6620000000004
555,-23.700000000000035,-138.2990000000004
556,-5.400000000000004,-137.7330000000004
557,-23.60000000000013,-137.33200000000042
558,-598.2,-142.7040000000004
559,-19.299999999999983,-136.9150000000004
560,-598.2,-142.2670000000004
561,-47.00000000000048,-142.11700000000042
562,-36.20000000000026,-141.8590000000004
563,-30.10000000000015,-141.5400000000004
564,-25.000000000000068,-141.1600000000004
565,-39.900000000000375,-140.9390000000004
566,-8.599999999999968,-140.40500000000037
567,-32.40000000000028,-134.29400000000035
568,-21.500000000000036,-133.88900000000035
569,-21.500000000000018,-133.49400000000034
570,-12.299999999999967,-133.00700000000032
571,-606.8,-138.44500000000033
572,-18.79999999999995,-138.0130000000003
573,-42.00000000000046,-137.8850000000003
574,-598.2,-143.2670000000003
575,-13.39999999999997,-142.8010000000003
576,-10.499999999999963,-142.3360000000003
577,-38.90000000000037,-136.36800000000028
578,-43.20000000000047,-130.81800000000032
579,-29.400000000000247,-130.5020000000003
580,-604.9000000000001,-135.9810000000003
581,-636.6000000000004,-141.74700000000027
582,-38.500000000000284,-141.65500000000029
583,-5.900000000000002,-141.11400000000026
584,-45.50000000000046,-140.99900000000028
585,-47.00000000000055,-140.89900000000026
586,-51.00000000000061,-140.81900000000027
587,-47.00000000000056,-140.74900000000028
588,-4.300000000000004,-134.66200000000026
589,-600.8000000000001,-140.10200000000026
590,-8.799999999999986,-139.65000000000026
591,-18.59999999999996,-133.67900000000026
592,-39.90000000000039,-128.02300000000025
593,-34.30000000000023,-122.38400000000027
594,-6.5000000000000036,-121.92900000000029
595,-11.99999999999993,-121.67100000000028
596,-8.799999999999978,-121.22100000000026
597,-18.499999999999954,-120.82600000000023
598,-606.4000000000001,-126.32000000000023
599,-8.599999999999955,-125.88600000000024
600,-45.00000000000049,-125.79800000000024
601,-4.600000000000007,-125.52900000000025
602,-15.699999999999958,-119.50200000000024
603,-598.2,-124.94800000000025
604,-11.299999999999976,-124.52100000000023
605,-46.00000000000055,-124.43100000000024
606,-23.100000000000044,-124.0820000000002
607,-27.400000000000095,-124.00300000000021
608,-605.3000000000001,-123.9620000000002
609,-15.299999999999955,-123.5350000000002
610,-16.899999999999945,-123.3620000000002
611,-23.900000000000077,-123.19000000000018
612,-13.09999999999997,-122.8830000000002
613,-12.199999999999976,-122.4050000000002
614,-8.899999999999991,-116.05800000000019
615,-25.20000000000009,-115.7400000000002
616,-13.399999999999975,-115.56900000000017
617,-3.9000000000000017,-115.03800000000015
618,-599.0,-120.47700000000015
619,-10.599999999999984,-120.36700000000015
620,-635.0000000000005,-120.34800000000014
621,-21.700000000000035,-114.58300000000015
622,-599.6,-120.22400000000016
623,-8.899999999999958,-119.78300000000016
624,-613.8,-125.59300000000013
625,-620.8000000000002,-125.76800000000014
626,-26.600000000000158,-125.52400000000014
627,-34.200000000000315,-125.61600000000016
628,-598.2,-131.02800000000016
629,-46.000000000000526,-131.09200000000018
630,-601.5,-136.76400000000015
631,-11.19999999999998,-136.34600000000015
632,-36.60000000000042,-136.59700000000015
633,-16.69999999999995,-136.56800000000015
634,-31.900000000000244,-136.48500000000018
635,-17.199999999999932,-136.57400000000015
636,-14.299999999999958,-136.42500000000015
637,-11.499999999999984,-136.13500000000013
638,-10.499999999999986,-130.20100000000014
639,-38.90000000000045,-130.31900000000013
640,-6.399999999999999,-129.85300000000012
641,-18.299999999999944,-129.76900000000012
642,-28.200000000000145,-129.7410000000001
643,-10.699999999999982,-129.57900000000015
644,-608.1,-135.10000000000014
645,-44.000000000000604,-135.00000000000014
646,-42.00000000000057,-134.93000000000012
647,-17.099999999999927,-134.6310000000001
648,-19.899999999999995,-134.5930000000001
649,-14.499999999999966,-134.56400000000014
650,-599.6,-134.21200000000013
651,-632.6000000000004,-140.26500000000013
652,-15.899999999999949,-140.2260000000001
653,-6.100000000000001,-139.94500000000014
654,-41.20000000000049,-140.06700000000012
655,-25.200000000000074,-140.08200000000014
656,-18.199999999999953,-140.21000000000015
657,-11.399999999999984,-140.08800000000014
658,-7.099999999999996,-134.17700000000016
659,-8.099999999999989,-134.06500000000014
660,-22.700000000000095,-128.31000000000012
661,-616.1,-134.00100000000015
662,-40.80000000000039,-134.04700000000014
663,-605.7,-139.80300000000014
664,-41.800000000000416,-139.97100000000015
665,-22.60000000000003,-139.79800000000014
666,-42.00000000000053,-140.13200000000015
